title,split_title
食用盐的增值税税率是多少？,食用盐 增值税 税率
适用商业健康保险税收优惠政策的纳税人有哪些？,商业 健康 税收 优惠政策 纳税人
天使投资个人符合什么条件可以享受投资初创科技型企业的税收试点政策？,天使 投资 个人 符合 条件 享受 投资 初创 科技型 企业 税收 试点 政策
新疆国际大巴扎项目是否继续免征增值税？,新疆 国际 大巴扎 项目 免征 增值税
广播电视运营服务企业收取的有线数字电视基本收视维护费和农村有线电视基本收,广播电视 运营 服务 企业 收取 有线 数字电视 收视 维护费 农村 有线电视 收
小微企业可以享受什么增值税税收优惠？,小微 企业 享受 增值税 税收 优惠
小微企业可以享受什么文化事业建设费优惠？,小微 企业 享受 文化 事业 建设费 优惠
小微企业可以享受什么残疾人就业保障金优惠？,小微 企业 享受 残疾人 就业 保障金 优惠
小型、微型企业可以享受什么印花税税收优惠？,小型 微型 企业 享受 印花税 税收 优惠
跨地区汇总纳税的小型微利企业的二级分支机构是否需要就地分摊缴纳企业所得税,跨地区 汇总 纳税 小型 微利 企业 二级 分支机构 分摊 缴纳 企业 所得税
国家税务总局关于小微企业免征增值税和营业税有关问题的公告,国家税务总局 小微 企业 免征 增值税 营业税 公告
国家税务总局关于修订《增值税专用发票使用规定》的通知,国家税务总局 修订 增值税 专用发票 通知
国家税务总局关于做好“二维码”一次性告知工作的通知,国家税务总局 做好 二维码 一次性 告知 工作 通知
“三证合一、一照一码”登记模式实施后，企业如何办理注销税务登记？,三 证 合一 一照 一码 登记 模式 实施 企业 办理 注销 税务 登记
国家税务总局关于推进工商营业执照、组织机构代码证和税务登记证“三证合一”,国家税务总局 推进 工商 营业执照 组织 机构 代码证 税务 登记证 三 证 合一
国家税务总局关于简化增值税发票领用和使用程序有关问题的公告,国家税务总局 简化 增值税 发票 领用 程序 公告
变更登记（涉及税务登记证件内容变化）,变更 登记 涉及 税务 登记 证件 内容 变化
中华人民共和国印花税暂行条例施行细则,中华人民共和国 印花税 暂行条例 施行细则
国家税务总局关于明确社会组织等纳税人使用统一社会信用代码及办理税务登记有,国家税务总局 社会 组织 纳税人 统一 社会 信用 代码 办理 税务 登记
一般纳税人销售自己使用过的固定资产，如何计算缴纳增值税？能否开具增值税专,纳税人 销售 固定资产 计算 缴纳 增值税 开具 增值税 专
全面营改增后，纳税人是否需要按照商品和服务税收分类编码开具发票？,营改 增后 纳税人 商品 服务 税收 分类 编码 开具 发票
中华人民共和国个人所得税法,中华人民共和国 个人所得税法
国家税务总局关于调整增值税一般纳税人管理有关事项的公告,国家税务总局 调整 增值税 纳税人 管理 事项 公告
财政部 国家税务总局 住房城乡建设部关于调整房地产交易环节契税 营业税优,财政部   国家税务总局   住房 城乡 建设部 调整 房地产 交易 环节 契税   营业税 优
国家税务总局关于发布《纳税人跨县（市、区）提供建筑服务增值税征收管理暂行,国家税务总局 发布 纳税人 跨县 市 区 提供 建筑 服务 增值税 征收 管理 暂行
中华人民共和国增值税暂行条例,中华人民共和国 增值税 暂行条例
国家税务总局关于全面推开营业税改征增值税试点后增值税纳税申报有关事项的公,国家税务总局 推开 营业税 改征 增值税 试点 增值税 纳税 申报 事项 公
变更登记（不涉及税务登记证件内容变化）,变更 登记 涉及 税务 登记 证件 内容 变化
普通发票代开,普通发票 代开
信息变更（适用于“三证合一”纳税人）,信息 变更 三 证 合一 纳税人
符合条件软件企业实行增值税即征即退政策所退还的税款，是否征收企业所得税？,符合条件 软件 企业 实行 增值税 即征 退 政策 退还 税款 征收 企业 所得税
财政部 国家税务总局关于小型微利企业所得税优惠政策的通知,财政部   国家税务总局 小型 微利 企业 所得税 优惠政策 通知
中华人民共和国税收征收管理法,中华人民共和国 税收 征收 管理法
职工取得全年一次性奖金如何计算缴纳个人所得税？,职工 一次性 奖金 计算 缴纳 个人所得税
小型微利企业的从业人数、资产总额如何计算？,小型 微利 企业 从业 人数 资产 总额 计算
国家税务总局关于红字增值税发票开具有关问题的公告,国家税务总局 红 字 增值税 发票 开具 公告
国家税务总局关于逾期增值税扣税凭证抵扣问题的公告,国家税务总局 逾期 增值税 扣税 凭证 抵扣 公告
北京市范围内，个人代开普通发票去哪里缴纳个人所得税？,北京市 个人 代开 普通发票 缴纳 个人所得税
国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局 调整 增值税 纳税 申报 事项 公告
国家税务总局关于发布《企业所得税优惠政策事项办理办法》的公告,国家税务总局 发布 企业 所得税 优惠政策 事项 办理 办法 公告
发票发放.,发票 发放
国家工商行政管理总局 国家税务总局关于做好“三证合一”有关工作衔接的通知,国家 工商行政 管理 总局   国家税务总局 做好 三 证 合一 工作 衔接 通知
国务院关于修改《中华人民共和国发票管理办法》的决定,国务院 修改 中华人民共和国 发票 管理 办法
增值税一般纳税人资格登记,增值税 纳税人 资格 登记
小微企业中按季纳税且季度销售额不超过9万元的小规模纳税人，能否享受不超过,小微 企业 中 按季 纳税 季度 销售额 超过 万元 小规模 纳税人 享受 超过
国家税务总局关于增值税一般纳税人登记管理若干事项的公告,国家税务总局 增值税 纳税人 登记 管理 若干 事项 公告
国家税务总局关于企业研究开发费用税前加计扣除政策有关问题的公告,国家税务总局 企业 研究 开发 费用 税前 加计 扣除 政策 公告
纳税人应在什么期限内办理变更税务登记?,纳税人 应 期限内 办理 变更 税务 登记
棚户区改造项目中有何印花税税收优惠政策的规定？,棚户区 改造 项目 中有何 印花税 税收 优惠政策
煤炭企业将其开采的煤炭加工为洗选煤后，且用于自用的，是否需要缴纳资源税？,煤炭企业 开采 煤炭 加工 洗 选煤 用于 自用 缴纳 资源税
北京市财政局 北京市国家税务局 北京市地方税务局转发财政部 国家税务总局,北京市 财政局   北京市 国家税务局   北京市 地方税务局 转发 财政部   国家税务总局
北京市财政局 北京市国家税务局 北京市地方税务局 北京市人力资源和社会保,北京市 财政局   北京市 国家税务局   北京市 地方税务局   北京市 人力资源 社会 保
北京市财政局 北京市国家税务局 北京市教育委员会转发财政部 国家税务总局,北京市 财政局   北京市 国家税务局   北京市 教育 委员会 转发 财政部   国家税务总局
转发财政部国家税务总局中宣部关于下发13家名称变更后继续享受税收优惠政策,转发 财政部 国家税务总局 中宣部 下发 13 家 名称 变更 享受 税收 优惠政策
中共北京市委宣传部 北京市财政局 北京市国家税务局 北京市地方税务局关于,中共北京市委 宣传部   北京市 财政局   北京市 国家税务局   北京市 地方税务局
北京市财政局北京市国家税务局北京市地方税务局北京市科学技术委员会中关协傲,北京市 财政局 北京市 国家税务局 北京市 地方税务局 北京市 科学技术委员会 中 关协 傲
全面营改增后，政府举办的职业学校设立的企业取得的服务收入，有哪些增值税优,营改 增后 政府 举办 职业 学校 设立 企业 服务收入 增值税 优
北京市国家税务局转发《国家税务总局关于供应非临床用血增值税政策问题的批复,北京市 国家税务局 转发 国家税务总局 供应 非 临床 用血 增值税 政策 批复
机场、港口、铁路站场内部行驶或者作业的车船是否可免征车船税？,机场 港口 铁路 站场 内部 行驶 作业 车船 免征 车船税
如何理解跨地区经营汇总纳税企业实行“统一计算、分级管理、就地预缴、汇总清,理解 跨地区 经营 汇总 纳税 企业 实行 统一 计算 分级管理 预缴 汇总 清
跨地区经营汇总纳税企业分支机构预缴申报时，应报送什么材料？,跨地区 经营 汇总 纳税 企业 分支机构 预缴 申报 时 应 报送 材料
出口货物备案的单证资料都有哪些？,出口 货物 备案 单证 资料
雇员律师办理案件支出费用的个人所得税前扣除标准是多少？,雇员 律师 办理 案件 支出费用 个人所得税 前 扣除 标准
律师个人承担的业务培训费是否可以在个人所得税前扣除？,律师 个人 承担 业务 培训费 个人所得税 前 扣除
生产企业购进不计提进项税额的国内免税原材料用于加工出口货物的，应如何向主,生产 企业 购进 计提 进项税额 国内 免税 原材料 用于 加工出口 货物 应 向主
城镇退役士兵就业免征增值税,城镇 退役 士兵 就业 免征 增值税
财政部 海关总署 国家税务总局关于“十三五”期间进口抗艾滋病病毒药物免税,财政部   海关总署   国家税务总局 十三 期间 进口 抗 艾滋病 病毒 药物 免税
境外旅客购物离境退税管理办法中所称“退税商店”是指什么？,境外 旅客 购物 离境 退税 管理 办法 中所称 退税 商店 指
只填开借据放贷是否要缴纳印花税？,填开 借据 放贷 缴纳 印花税
社会各界捐助货物给汶川地震灾区的，税收方面有何优惠措施？,社会各界 捐助 货物 汶川 地震 灾区 税收 有何 优惠 措施
符合条件的新疆困难地区新办企业，如何免征减征企业所得税？,符合条件 新疆 困难 地区 新办 企业 免征 减征 企业 所得税
城市维护建设税的计税依据和纳税期限是如何规定的？,城市 维护 建设 税 计税 纳税 期限
对土地使用权出让合同、土地使用权转让合同按何税目征收印花税？,土地 使用权 出让 合同 土地 使用权 转让 合同 按何 税目 征收 印花税
对中国邮政集团公司邮政速递物流业务重组改制过程中有关印花税政策是如何规定,中国邮政 集团公司 邮政 速递 物流 业务 重组 改制 过程 中 印花税 政策
仓储保管业务的应税凭证如何确定？,仓储 业务 应税 凭证
同一种类应纳税凭证，需频繁贴花的，纳税人选择按期汇总缴纳印花税的方式有何,种类 应 纳税 凭证 需 频繁 贴花 纳税人 选择 汇总 缴纳 印花税 方式 有何
在执行税收协定时，什么是与承包商有关的监理管理活动？,执行 税收 协定 时 承包商 监理 管理 活动
经批准可以减征个人所得税的所得有哪些？,批准 减征 个人所得税 所得
什么样的成本分摊不得在计算应纳税所得额时扣除？,成本 分摊 计算 应 纳税 所得额 时 扣除
成本分摊的原则是什么？,成本 分摊 原则
支付的中介费能否在计征劳务报酬个人所得税前扣除？,支付 中介费 计征 劳务 报酬 个人所得税 前 扣除
企业集团采取合理分摊研究开发费的如何确定研究开发费用的分摊方法？,企业 集团 分摊 研究 开发费 研究 开发 费用 分摊 方法
实行核定征收的企业所得税纳税人企业所得税月（季）度预缴纳税时应使用何种申,实行 核定 征收 企业 所得税 纳税人 企业 所得税 月 季 度 预缴 纳税 时应 何种 申
新税法实施后，民族自治地方的减免税政策是如何规定的？,新税法 实施 民族自治 地方 减免税 政策
企业取得的债务重组收入可以分期确认收入吗？,企业 债务 重组 收入 确认 收入
企业发生债务重组何时确认收入？,企业 发生 债务 重组 确认 收入
对不符合享受资源综合利用企业所得税优惠条件的企业，税务机关应当如何处理？,符合 享受 资源 综合利用 企业 所得税 优惠条件 企业 税务机关
什么是机构场所？,机构 场所
北京市国家税务局 北京市财政局关于兴业银行股份有限公司北京分行等16家企,北京市 国家税务局   北京市 财政局 兴业银行 股份 有限公司 北京分行 16 家企
北京市国家税务局 北京市地方税务局关于2015年度企业所得税优惠政策事项,北京市 国家税务局   北京市 地方税务局 2015 年度 企业 所得税 优惠政策 事项
北京市国家税务局关于落实《出口退（免）税企业分类管理办法》的公告,北京市 国家税务局 落实 出口 退 免 税 企业 分类管理 办法 公告
钻石交易免征增值税,钻石 交易 免征 增值税
残疾人专用物品免征增值税,残疾人 专用 物品 免征 增值税
"可享受过渡优惠政策的企业,其实施过渡优惠政策的项目和范围应符合什么条件？",享受 过渡 优惠政策 企业 实施 过渡 优惠政策 项目 应 符合 条件
房改后是否缴纳房产税?,房改 缴纳 房产税
《中华人民共和国企业所得税法》中免税收入主要包括哪些内容？,中华人民共和国 企业 所得税法 中 免税 收入 主要 包括 内容
哪些居民企业需要进行企业所得税汇算清缴？,居民 企业 企业 所得税 汇算 清缴
医院用地是否缴纳耕地占用税？,医院 用地 缴纳 耕地 占用 税
对个人转让限售股采取何种方式缴纳个人所得税？,个人 转让 限售 股 何种 方式 缴纳 个人所得税
在执行税收协定时，对拥有缔约国国籍的个人在税收上不能有歧视待遇？,执行 税收 协定 时 拥有 缔约国 国籍 个人 税收 歧视 待遇
个人向中华健康快车基金会等5家单位捐赠的个人所得税税前扣除规定是什么？,个人 中华 健康 快车 基金会 家 单位 捐赠 个人所得税 税前 扣除
作为律师事务所雇员的律师在缴纳个人所得税时，费用扣除是怎样规定的？,律师 事务所 雇员 律师 缴纳 个人所得税 时 费用 扣除
预约定价安排期满自动失效后，企业应如何提出续签申请？,预约 定价 安排 期满 自动 失效 企业 应 提出 续签 申请
已办理税务登记的汽油、柴油消费税纳税人，税务登记事项发生变化的，应在什么,办理 税务 登记 汽油 柴油 消费税 纳税人 税务 登记 事项 发生变化 应
所得为外国货币的，如何计算缴纳个人所得税？,所得 外国 货币 计算 缴纳 个人所得税
航空公司空勤人员的飞行小时费和伙食费收入是否准予在个人所得税前扣除？,航空公司 空勤人员 飞行 小时 费 伙食费 收入 准予 个人所得税 前 扣除
"有境外分支机构的企业,是否需要对境外分支机构的实际亏损额和非实际亏损额的",境外 分支机构 企业 境外 分支机构 亏损额 非 亏损额
国家税务总局关于中国光大（集团）总公司所属企业2007年度总机构管理费税,国家税务总局 中国 光大 集团 总公司 所属 企业 2007 年度 总 机构 管理费 税
耕地占用税税收优惠中有哪些免税政策？,耕地 占用 税 税收 优惠 中有 免税 政策
何种情况下，个人所得税纳税人应办理纳税申报，扣缴义务人应办理全员全额扣缴,何种 情况 个人所得税 纳税人 应 办理 纳税 申报 扣缴 义务人 应 办理 全员 全额 扣缴
财政部 国家税务总局关于对小微企业免征有关政府性基金的通知,财政部   国家税务总局 对小微 企业 免征 政府 性 基金 通知
国家税务总局关于《中华人民共和国政府和土库曼斯坦政府对所得避免双重征税和,国家税务总局 中华人民共和国政府 土库曼斯坦 政府 所得 双重 征税
财政部 海关总署 国家税务总局关于调整进口天然气税收优惠政策有关问题的通,财政部   海关总署   国家税务总局 调整 进口 天然气 税收 优惠政策 通
财政部 海关总署  国家税务总局关于调整进口天然气税收优惠政策有关问题的,财政部   海关总署     国家税务总局 调整 进口 天然气 税收 优惠政策
符合条件的集成电路封装、测试企业以及集成电路关键专用材料生产企业、集成电,符合条件 集成电路 封装 测试 企业 集成电路 关键 专用 材料 生产 企业 集成 电
北京市商务委员会 中华人民共和国北京海关 中华人民共和国北京出人境检验检,北京市 商务 委员会   中华人民共和国 北京海关   中华人民共和国 北京 出人境 检验 检
北京市财政局 北京市国家税务局 北京市地方税务局关于公布北京市2011年,北京市 财政局   北京市 国家税务局   北京市 地方税务局 公布 北京市 2011 年
营改增后，土地增值税纳税人的建筑安装服务支出需要在计算土地增值税时扣除的,营改 增后 土地 增值税 纳税人 建筑安装 服务 支出 计算 土地 增值税 时 扣除
财政部 国家税务总局关于2016年森林消防专用车免征车辆购置税的通知,财政部   国家税务总局 2016 年 森林 消防 专用车 免征 车辆 购置税 通知
《中华人民共和国政府和新加坡共和国政府关于对所得避免双重征税和防止偷漏税,中华人民共和国政府 新加坡共和国 政府 所得 双重 征税 偷漏税
国家税务总局关于直销企业增值税销售额确定有关问题的公告,国家税务总局 直销 企业 增值税 销售额 公告
购买输入特殊区域的水电气的生产企业，向主管税务机关申报退税的期限是如何规,购买 输入 区域 水电 气 生产 企业 主管 税务机关 申报 退税 期限 规
如果派遣企业仅为在接收企业行使股东权利、保障其合法股东权益而派遣人员在中,派遣 企业 接收 企业 行使 股东 权利 保障 合法 股东权益 派遣 人员 中
境外旅客购物离境退税管理办法中所称“离境退税管理系统”是指什么？,境外 旅客 购物 离境 退税 管理 办法 中所称 离境 退税 管理系统 指
煤炭企业对充填开采置换出来的煤炭，有何税收优惠？,煤炭企业 充填 开采 置换 煤炭 有何 税收 优惠
国家对汶川地震灾后促进就业的税收优惠政策有哪些？,国家 汶川 地震 灾后 就业 税收 优惠政策
购车单位办理“母亲健康快车”项目的流动医疗车免征车辆购置税纳税申报时，应,购车 单位 办理 母亲 健康 快车 项目 流动 医疗 车 免征 车辆 购置税 纳税 申报 时 应
生产企业发生解散、破产、撤销等事项后是否应到税务机关办理出口退（免）税注,生产 企业 发生 解散 破产 撤销 事项 应 税务机关 办理 出口 退 免 税注
在执行税收协定时，如何计算一个工地或同一工程连续承包两个及两个以上作业项,执行 税收 协定 时 计算 工地 工程 连续 承包 两个 两个 作业 项
"同一扣缴义务人的不同部门支付应纳税所得的,应如何扣缴个人所得税？",扣缴 义务人 部门 支付 应 纳税 所得 应 扣缴 个人所得税
在中国，资本利得是否为协定中“所得”的范围?,中国 资本 利 协定 中 所得
哪些情况下，出口货物报关单上所载明的货物，主管税务机关须排除骗税疑点后，,情况 出口 货物 报关单 载明 货物 主管 税务机关 须 排除 骗税 疑点
财政部 国家税务总局关于免征储备大豆增值税政策的通知,财政部   国家税务总局 免征 储备 大豆 增值税 政策 通知
个人独资、合伙企业的投资者将企业资金用于支付消费性支出及购买家庭财产，能,个人独资 合伙 企业 投资者 企业 资金 用于 支付 消费性 支出 购买 家庭财产
成本分摊协议适用于哪些交易？,成本 分摊 协议 交易
外国企业常驻代表机构在什么条件下按照据实方式申报纳税？,外国 企业 常驻 代表 机构 条件 方式 申报 纳税
在中国境内外公开发行、上市股票的中国居民企业，在向非居民企业股东派发20,中国 境内外 公开 发行 上市 股票 中国 居民 企业 非 居民 企业 股东 派发 20
受控外国企业管理中国居民指什么？,受控 外国 企业 管理 中国 居民 指
雇主为其雇员部分负担税款的，个人所得税如何缴纳？,雇主 雇员 负担 税款 个人所得税 缴纳
哪些沼气综合开发利用项目属于符合条件的环境保护、节能节水项目？,沼气 综合 开发利用 项目 符合条件 环境保护 节能 节水 项目
享受过渡优惠政策及西部大开发优惠政策的企业，在定期减免税的减半期内，是按,享受 过渡 优惠政策 西部 开发 优惠政策 企业 定期 减免税 减半 期内
企业因技术开发费加计扣除形成的年度亏损，可以结转以后年度弥补吗？,企业 技术开发 费 加计 扣除 年度 亏损 结转 年度 弥补
扣缴义务人每次代扣的税款，应于几日内缴入国库？,扣缴 义务人 每次 代扣 税款 应 几日 缴入 国库
北京市国家税务局目前在用的普通发票有哪些？,北京市 国家税务局 普通发票
北京市国家税务局 北京市财政局关于中移铁通有限公司总分机构缴纳增值税问题,北京市 国家税务局   北京市 财政局 中移 铁通 有限公司 总分 机构 缴纳 增值税
取得三家电信运营商开具的电子发票，如何查验？,三家 电信 运营商 开具 电子 发票 查验
纳税人已领用的旧版北京市国家税务局通用定额发票和旧版北京市停车收费定额专,纳税人 领用 旧版 北京市 国家税务局 通用 定额 发票 旧版 北京市 停车 收费 定额 专
丢失发票如何处罚？,丢失 发票 处罚
国家税务总局关于在境外提供建筑服务等有关问题的公告,国家税务总局 境外 提供 建筑 服务 公告
申请税务行政处罚人员回避办税流程,申请 税务 行政处罚 人员 回避 办税 流程
经认定的转制文化企业申请办理减免税手续，应当提供哪些备案材料？,认定 转制 文化 企业 申请 办理 减免税 手续 提供 备案 材料
什么是非居民承包工程作业？,是非 居民 承包工程 作业
出版、发行企业库存呆滞出版物是否可以作为财产损失在税前扣除？,出版 发行 企业 库存 呆滞 出版物 财产损失 税前 扣除
个人出售自有住房计征个人所得税时，允许扣除的财产原值如何确定？,个人 出售 自有 住房 计征 个人所得税 时 扣除 财产 原值
个人财产拍卖所得计征个人所得税时如何确认财产原值？,个人财产 拍卖 所得 计征 个人所得税 时 确认 财产 原值
外国企业常驻代表机构如何办理税务登记？,外国 企业 常驻 代表 机构 办理 税务 登记
内地与香港新《安排》对受雇所得判定纳税义务规定的时间是什么？,内地 香港 新 安排 受雇 所得 判定 纳税 义务 时间
外企对其雇员所得代扣代缴个人所得税是如何规定的？,外企 雇员 所得 代扣代缴 个人所得税
企业实行个人承包、承租经营后变更为个体工商户的，取得的所得如何计征个人所,企业 实行 个人承包 承租 经营 变更 个体 工商户 所得 计征 个人
个人投资或个人合伙投资开设医院（诊所）而取得的收入，如何计征个人所得税?,个人 投资 个人 合伙 投资 开设 医院 诊所 收入 计征 个人所得税
非居民企业可以汇总缴纳企业所得税吗？,非 居民 企业 汇总 缴纳 企业 所得税
企业取得的接受捐赠收入可以分期确认收入吗？,企业 接受 捐赠 收入 确认 收入
年所得12万以上纳税人财产租赁所得申报口径是什么？,年 所得 12 万 纳税人 财产 租赁 所得 申报 口径
国家税务总局关于实施加油站税控初始化有关问题的通知,国家税务总局 实施 加油站 税控 初始化 通知
国家税务总局关于做好上海世博会退税函调工作的通知,国家税务总局 做好 上海 世博会 退税 函调 工作 通知
国家税务总局关于农村电网维护费征免增值税问题的通知,国家税务总局 农村 电网 维护费 征免 增值税 通知
房屋附属设备和配套设施是否计入房产原值,房屋 附属 设备 配套 设施 计入 房产 原值
国家税务总局关于发布《股权转让所得个人所得税管理办法（试行）》的公告,国家税务总局 发布 股权 转让 所得 个人所得税 管理 办法 试行 公告
国家税务总局关于印发《增值税纳税申报比对管理操作规程（试行）》的通知,国家税务总局 印发 增值税 纳税 申报 管理 操作规程 试行 通知
国家税务总局关于《增值税纳税申报比对管理操作规程（试行）》执行有关事项的,国家税务总局 增值税 纳税 申报 管理 操作规程 试行 执行 事项
北京市国家税务局 北京市财政局关于每克拉美（北京）钻石商场有限公司等6家,北京市 国家税务局   北京市 财政局 克拉 美 北京 钻石 商场 有限公司 家
北京市财政局 北京市国家税务局 北京市地方税务局关于公布北京市2012年,北京市 财政局   北京市 国家税务局   北京市 地方税务局 公布 北京市 2012 年
全面营改增后，公共租赁住房经营管理单位出租公共租赁住房是否需要缴纳增值税,营改 增后 公共 租赁 住房 经营 管理 单位 出租 公共 租赁 住房 缴纳 增值税
全面营改增后，政府举办的学校举办进修班、培训班取得的收入是否需要缴纳增值,营改 增后 政府 举办 学校 举办 进修班 培训班 收入 缴纳 增值
如何判定缔约对方居民的“受益所有人”身份？,判定 缔约 居民 受益 所有人 身份
哪些企业出口货物可以实行免抵退税管理办法？,企业 出口 货物 实行 免抵退 税 管理 办法
国家税务总局关于纳税人无偿赠送粉煤灰征收增值税问题的公告,国家税务总局 纳税人 无偿 赠送 粉煤灰 征收 增值税 公告
房地产开发企业取得土地使用权时支付的契税怎么扣除？,房地产 开发 企业 土地 使用权 时 支付 契税 扣除
以委托代销方式销售应征废弃电器电子产品处理基金产品的，基金缴纳义务发生时,委托 代销 方式 销售 应征 废弃 电器 电子产品 基金 产品 基金 缴纳 义务 发生 时
对第二届夏季青年奥林匹克运动会等三项国际综合运动会对组委会使用的营业账簿,第二届 夏季 青年 奥林匹克运动会 三项 国际 综合 运动会 组委会 营业 账簿
