title,split_title
食用盐的增值税税率是多少？,食用盐 增值税 税率
适用商业健康保险税收优惠政策的纳税人有哪些？,商业 健康 税收 优惠政策 纳税人
天使投资个人符合什么条件可以享受投资初创科技型企业的税收试点政策？,天使 投资 个人 符合 条件 享受 投资 初创 科技型 企业 税收 试点 政策
新疆国际大巴扎项目是否继续免征增值税？,新疆 国际 大巴扎 项目 免征 增值税
广播电视运营服务企业收取的有线数字电视基本收视维护费和农村有线电视基本收,广播电视 运营 服务 企业 收取 有线 数字电视 收视 维护费 农村 有线电视 收
小微企业可以享受什么增值税税收优惠？,小微 企业 享受 增值税 税收 优惠
小微企业可以享受什么文化事业建设费优惠？,小微 企业 享受 文化 事业 建设费 优惠
小微企业可以享受什么残疾人就业保障金优惠？,小微 企业 享受 残疾人 就业 保障金 优惠
小型、微型企业可以享受什么印花税税收优惠？,小型 微型 企业 享受 印花税 税收 优惠
跨地区汇总纳税的小型微利企业的二级分支机构是否需要就地分摊缴纳企业所得税,跨地区 汇总 纳税 小型 微利 企业 二级 分支机构 分摊 缴纳 企业 所得税
国家税务总局关于小微企业免征增值税和营业税有关问题的公告,国家税务总局 小微 企业 免征 增值税 营业税 公告
国家税务总局关于修订《增值税专用发票使用规定》的通知,国家税务总局 修订 增值税 专用发票 通知
国家税务总局关于做好“二维码”一次性告知工作的通知,国家税务总局 做好 二维码 一次性 告知 工作 通知
“三证合一、一照一码”登记模式实施后，企业如何办理注销税务登记？,三 证 合一 一照 一码 登记 模式 实施 企业 办理 注销 税务 登记
国家税务总局关于推进工商营业执照、组织机构代码证和税务登记证“三证合一”,国家税务总局 推进 工商 营业执照 组织 机构 代码证 税务 登记证 三 证 合一
国家税务总局关于简化增值税发票领用和使用程序有关问题的公告,国家税务总局 简化 增值税 发票 领用 程序 公告
变更登记（涉及税务登记证件内容变化）,变更 登记 涉及 税务 登记 证件 内容 变化
中华人民共和国印花税暂行条例施行细则,中华人民共和国 印花税 暂行条例 施行细则
国家税务总局关于明确社会组织等纳税人使用统一社会信用代码及办理税务登记有,国家税务总局 社会 组织 纳税人 统一 社会 信用 代码 办理 税务 登记
一般纳税人销售自己使用过的固定资产，如何计算缴纳增值税？能否开具增值税专,纳税人 销售 固定资产 计算 缴纳 增值税 开具 增值税 专
全面营改增后，纳税人是否需要按照商品和服务税收分类编码开具发票？,营改 增后 纳税人 商品 服务 税收 分类 编码 开具 发票
中华人民共和国个人所得税法,中华人民共和国 个人所得税法
国家税务总局关于调整增值税一般纳税人管理有关事项的公告,国家税务总局 调整 增值税 纳税人 管理 事项 公告
财政部 国家税务总局 住房城乡建设部关于调整房地产交易环节契税 营业税优,财政部   国家税务总局   住房 城乡 建设部 调整 房地产 交易 环节 契税   营业税 优
国家税务总局关于发布《纳税人跨县（市、区）提供建筑服务增值税征收管理暂行,国家税务总局 发布 纳税人 跨县 市 区 提供 建筑 服务 增值税 征收 管理 暂行
中华人民共和国增值税暂行条例,中华人民共和国 增值税 暂行条例
国家税务总局关于全面推开营业税改征增值税试点后增值税纳税申报有关事项的公,国家税务总局 推开 营业税 改征 增值税 试点 增值税 纳税 申报 事项 公
变更登记（不涉及税务登记证件内容变化）,变更 登记 涉及 税务 登记 证件 内容 变化
普通发票代开,普通发票 代开
信息变更（适用于“三证合一”纳税人）,信息 变更 三 证 合一 纳税人
符合条件软件企业实行增值税即征即退政策所退还的税款，是否征收企业所得税？,符合条件 软件 企业 实行 增值税 即征 退 政策 退还 税款 征收 企业 所得税
财政部 国家税务总局关于小型微利企业所得税优惠政策的通知,财政部   国家税务总局 小型 微利 企业 所得税 优惠政策 通知
中华人民共和国税收征收管理法,中华人民共和国 税收 征收 管理法
职工取得全年一次性奖金如何计算缴纳个人所得税？,职工 一次性 奖金 计算 缴纳 个人所得税
小型微利企业的从业人数、资产总额如何计算？,小型 微利 企业 从业 人数 资产 总额 计算
国家税务总局关于红字增值税发票开具有关问题的公告,国家税务总局 红 字 增值税 发票 开具 公告
国家税务总局关于逾期增值税扣税凭证抵扣问题的公告,国家税务总局 逾期 增值税 扣税 凭证 抵扣 公告
北京市范围内，个人代开普通发票去哪里缴纳个人所得税？,北京市 个人 代开 普通发票 缴纳 个人所得税
国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局 调整 增值税 纳税 申报 事项 公告
国家税务总局关于发布《企业所得税优惠政策事项办理办法》的公告,国家税务总局 发布 企业 所得税 优惠政策 事项 办理 办法 公告
发票发放.,发票 发放
国家工商行政管理总局 国家税务总局关于做好“三证合一”有关工作衔接的通知,国家 工商行政 管理 总局   国家税务总局 做好 三 证 合一 工作 衔接 通知
国务院关于修改《中华人民共和国发票管理办法》的决定,国务院 修改 中华人民共和国 发票 管理 办法
增值税一般纳税人资格登记,增值税 纳税人 资格 登记
小微企业中按季纳税且季度销售额不超过9万元的小规模纳税人，能否享受不超过,小微 企业 中 按季 纳税 季度 销售额 超过 万元 小规模 纳税人 享受 超过
国家税务总局关于增值税一般纳税人登记管理若干事项的公告,国家税务总局 增值税 纳税人 登记 管理 若干 事项 公告
